epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,7225.9,1.31462,0.80899,0.93366,0.78242,0.64133,0.73561,0.44875,1.2593,0.76332,0.93277,0.000614,0.000614,0.000614
44,7393.07,1.30455,0.79957,0.93002,0.79709,0.63678,0.73692,0.44924,1.25642,0.7588,0.93336,0.000581,0.000581,0.000581
45,7560.48,1.30711,0.80179,0.92905,0.78807,0.64163,0.73567,0.44974,1.25831,0.76248,0.93472,0.000548,0.000548,0.000548
46,7727.64,1.29708,0.79188,0.92916,0.79472,0.64016,0.74035,0.45248,1.25417,0.75952,0.93403,0.000515,0.000515,0.000515
47,7894.44,1.30169,0.7936,0.92642,0.78599,0.64525,0.73969,0.45248,1.25154,0.75633,0.93133,0.000482,0.000482,0.000482
48,8061.92,1.28709,0.78699,0.9243,0.80189,0.63799,0.7403,0.45416,1.24691,0.7526,0.92991,0.000449,0.000449,0.000449
49,8228.87,1.28402,0.77525,0.92432,0.79042,0.64488,0.73958,0.45419,1.24835,0.75274,0.93105,0.000416,0.000416,0.000416
50,8397.07,1.28407,0.77984,0.9252,0.79235,0.6427,0.73989,0.45421,1.24659,0.75093,0.93012,0.000383,0.000383,0.000383
51,8564.9,1.26379,0.77289,0.92461,0.78824,0.64053,0.73438,0.45072,1.25017,0.75812,0.93142,0.00035,0.00035,0.00035
52,8729.59,1.2557,0.76198,0.92137,0.78913,0.63711,0.73594,0.45119,1.25238,0.75706,0.9312,0.000317,0.000317,0.000317
53,8894.86,1.24418,0.75033,0.91669,0.79618,0.63627,0.73755,0.4535,1.25046,0.75303,0.93128,0.000284,0.000284,0.000284
54,9059.96,1.24619,0.75162,0.91685,0.78045,0.64814,0.73835,0.45454,1.25089,0.74963,0.93099,0.000251,0.000251,0.000251
55,9224.73,1.23408,0.74804,0.91509,0.7866,0.64899,0.74088,0.45494,1.25002,0.7502,0.93021,0.000218,0.000218,0.000218
56,9389.84,1.23112,0.74345,0.91611,0.78797,0.64258,0.73837,0.45394,1.24741,0.75156,0.93051,0.000185,0.000185,0.000185
57,9555.68,1.22524,0.73599,0.9113,0.78916,0.64391,0.74074,0.45549,1.24795,0.75081,0.9296,0.000152,0.000152,0.000152
58,9720.69,1.21875,0.73482,0.91055,0.79224,0.6432,0.74036,0.45504,1.24756,0.7499,0.92899,0.000119,0.000119,0.000119
59,9885.7,1.21472,0.72896,0.90886,0.78754,0.64407,0.74111,0.45643,1.24558,0.74857,0.92841,8.6e-05,8.6e-05,8.6e-05
60,10053.5,1.21236,0.72679,0.91118,0.78626,0.64717,0.74192,0.4565,1.24486,0.74879,0.92832,5.3e-05,5.3e-05,5.3e-05
